driverRef_x,driverRef_y,connection
purley,beuttler,constructor
jarier,wisell,constructor
wisell,beuttler,constructor
hunt,wisell,constructor
jarier,peterson,constructor
jarier,pescarolo,constructor
jarier,galli,constructor
peterson,galli,constructor
pescarolo,galli,constructor
beuttler,galli,constructor
reutemann,mario_andretti,constructor
reutemann,rebaque,constructor
reutemann,gilles_villeneuve,constructor
reutemann,stommelen,constructor
stommelen,wilson_fittipaldi,constructor
reutemann,hill,constructor
hill,wilson_fittipaldi,constructor
mass,colombo,constructor
mass,binder,constructor
mass,bleekemolen,constructor
mass,gilles_villeneuve,constructor
gilles_villeneuve,villota,constructor
gilles_villeneuve,hunt,constructor
gilles_villeneuve,lunger,constructor
mass,emerson_fittipaldi,constructor
mass,charlton,constructor
emerson_fittipaldi,charlton,constructor
mass,pace,constructor
mass,kinnunen,constructor
pace,kinnunen,constructor
mass,dolhem,constructor
kinnunen,dolhem,constructor
mass,bell,constructor
kinnunen,bell,constructor
mass,hulme,constructor
emerson_fittipaldi,hulme,constructor
mass,hailwood,constructor
pace,hailwood,constructor
pironi,gilles_villeneuve,constructor
pironi,lees,constructor
pironi,depailler,constructor
gilles_villeneuve,scheckter,constructor
henton,ribeiro,constructor
henton,lunger,constructor
ribeiro,lunger,constructor
henton,merzario,constructor
henton,ian_scheckter,constructor
henton,hayje,constructor
henton,neve,constructor
merzario,ribeiro,constructor
merzario,lunger,constructor
merzario,ian_scheckter,constructor
merzario,hayje,constructor
merzario,neve,constructor
ribeiro,ian_scheckter,constructor
ribeiro,hayje,constructor
ribeiro,neve,constructor
lunger,ian_scheckter,constructor
lunger,hayje,constructor
lunger,neve,constructor
ian_scheckter,hayje,constructor
ian_scheckter,neve,constructor
hayje,neve,constructor
henton,kozarowitzky,constructor
henton,sutcliffe,constructor
merzario,kozarowitzky,constructor
merzario,sutcliffe,constructor
ribeiro,kozarowitzky,constructor
ribeiro,sutcliffe,constructor
ian_scheckter,kozarowitzky,constructor
ian_scheckter,sutcliffe,constructor
neve,kozarowitzky,constructor
neve,sutcliffe,constructor
kozarowitzky,sutcliffe,constructor
henton,peterson,constructor
henton,crawford,constructor
peterson,crawford,constructor
daly,lees,constructor
daly,ertl,constructor
daly,lunger,constructor
mario_andretti,peterson,constructor
rebaque,peterson,constructor
mario_andretti,nilsson,constructor
mario_andretti,regazzoni,constructor
mario_andretti,ickx,constructor
regazzoni,ickx,constructor
mario_andretti,amon,constructor
mario_andretti,stewart,constructor
mario_andretti,siffert,constructor
mario_andretti,gavin,constructor
amon,stewart,constructor
amon,siffert,constructor
amon,gavin,constructor
stewart,siffert,constructor
stewart,gavin,constructor
siffert,gavin,constructor
mario_andretti,cevert,constructor
peterson,amon,constructor
peterson,cevert,constructor
peterson,stewart,constructor
peterson,siffert,constructor
amon,cevert,constructor
cevert,stewart,constructor
cevert,siffert,constructor
mario_andretti,hahne,constructor
peterson,hahne,constructor
amon,hahne,constructor
cevert,hahne,constructor
stewart,hahne,constructor
siffert,hahne,constructor
mario_andretti,hill,constructor
mario_andretti,love,constructor
mario_andretti,rindt,constructor
hill,love,constructor
hill,siffert,constructor
hill,rindt,constructor
love,siffert,constructor
love,rindt,constructor
siffert,rindt,constructor
mario_andretti,bonnier,constructor
hill,bonnier,constructor
siffert,bonnier,constructor
bonnier,rindt,constructor
mario_andretti,lovely,constructor
hill,lovely,constructor
siffert,lovely,constructor
lovely,rindt,constructor
mario_andretti,oliver,constructor
oliver,hill,constructor
oliver,siffert,constructor
villota,kessel,constructor
lees,kennedy,constructor
keegan,brambilla,constructor
keegan,ertl,constructor
keegan,rebaque,constructor
rebaque,ertl,constructor
keegan,ashley,constructor
rebaque,ashley,constructor
gabbiani,francia,constructor
jabouille,depailler,constructor
jabouille,scheckter,constructor
depailler,scheckter,constructor
jabouille,merzario,constructor
jabouille,kinnunen,constructor
jabouille,bell,constructor
jabouille,quester,constructor
kinnunen,quester,constructor
bell,quester,constructor
depailler,peterson,constructor
depailler,takahashi,constructor
peterson,takahashi,constructor
depailler,ian_scheckter,constructor
scheckter,ian_scheckter,constructor
depailler,pesenti_rossi,constructor
scheckter,pesenti_rossi,constructor
depailler,stuppacher,constructor
scheckter,stuppacher,constructor
pesenti_rossi,stuppacher,constructor
depailler,hoshino,constructor
scheckter,hoshino,constructor
depailler,leclere,constructor
scheckter,leclere,constructor
depailler,keizan,constructor
scheckter,keizan,constructor
depailler,cevert,constructor
depailler,stewart,constructor
scheckter,rahal,constructor
scheckter,hulme,constructor
scheckter,revson,constructor
hulme,revson,constructor
regazzoni,stuck,constructor
regazzoni,ongais,constructor
stuck,ongais,constructor
regazzoni,merzario,constructor
merzario,ickx,constructor
regazzoni,giunti,constructor
ickx,giunti,constructor
emerson_fittipaldi,ribeiro,constructor
emerson_fittipaldi,hoffmann,constructor
emerson_fittipaldi,hailwood,constructor
hulme,hailwood,constructor
charlton,hulme,constructor
charlton,hailwood,constructor
emerson_fittipaldi,hobbs,constructor
hulme,hobbs,constructor
emerson_fittipaldi,peterson,constructor
peterson,charlton,constructor
emerson_fittipaldi,walker,constructor
charlton,walker,constructor
emerson_fittipaldi,wisell,constructor
wisell,walker,constructor
emerson_fittipaldi,lovely,constructor
wisell,lovely,constructor
emerson_fittipaldi,hill,constructor
emerson_fittipaldi,miles,constructor
emerson_fittipaldi,rindt,constructor
hill,miles,constructor
lovely,miles,constructor
miles,rindt,constructor
hill,wisell,constructor
ertl,bleekemolen,constructor
ertl,edwards,constructor
ertl,stommelen,constructor
ertl,ribeiro,constructor
ertl,hunt,constructor
ertl,lunger,constructor
brambilla,gimax,constructor
brambilla,binder,constructor
brambilla,trimmer,constructor
brambilla,schuppan,constructor
trimmer,schuppan,constructor
brambilla,leoni,constructor
brambilla,stuck,constructor
brambilla,lombardi,constructor
stuck,lombardi,constructor
brambilla,peterson,constructor
stuck,peterson,constructor
brambilla,merzario,constructor
merzario,stuck,constructor
merzario,peterson,constructor
brambilla,donohue,constructor
stuck,donohue,constructor
lombardi,donohue,constructor
brambilla,wisell,constructor
brambilla,wilds,constructor
stuck,wilds,constructor
hunt,stuck,constructor
hunt,ganley,constructor
stuck,ganley,constructor
hunt,ian_scheckter,constructor
hunt,williamson,constructor
purley,williamson,constructor
beuttler,williamson,constructor
merzario,colombo,constructor
merzario,dryver,constructor
ribeiro,dryver,constructor
ian_scheckter,dryver,constructor
hayje,dryver,constructor
neve,dryver,constructor
merzario,bleekemolen,constructor
ribeiro,bleekemolen,constructor
bleekemolen,ian_scheckter,constructor
bleekemolen,hayje,constructor
bleekemolen,neve,constructor
merzario,amon,constructor
merzario,brown,constructor
merzario,binder,constructor
merzario,brise,constructor
merzario,belso,constructor
merzario,lennep,constructor
stuck,ribeiro,constructor
stuck,lunger,constructor
stuck,hayje,constructor
ickx,leclere,constructor
ickx,peterson,constructor
ickx,tunmer,constructor
ickx,keizan,constructor
peterson,tunmer,constructor
peterson,keizan,constructor
tunmer,keizan,constructor
ickx,ian_scheckter,constructor
ickx,driver,constructor
peterson,ian_scheckter,constructor
peterson,driver,constructor
ian_scheckter,driver,constructor
ickx,schenken,constructor
peterson,schenken,constructor
ickx,hulme,constructor
ickx,revson,constructor
ickx,ganley,constructor
ickx,galli,constructor
ickx,jack_brabham,constructor
ickx,courage,constructor
jack_brabham,courage,constructor
ickx,moser,constructor
moser,jack_brabham,constructor
moser,courage,constructor
ickx,amon,constructor
ickx,adamich,constructor
amon,adamich,constructor
ickx,bell,constructor
amon,bell,constructor
ickx,jo_schlesser,constructor
ickx,siffert,constructor
ickx,bonnier,constructor
ickx,rindt,constructor
hayje,kozarowitzky,constructor
peterson,roig,constructor
peterson,love,constructor
pescarolo,roig,constructor
pescarolo,love,constructor
roig,love,constructor
roig,barber,constructor
peterson,adamich,constructor
galli,barber,constructor
peterson,gavin,constructor
ongais,leoni,constructor
stommelen,hill,constructor
stommelen,migault,constructor
stommelen,brise,constructor
stommelen,redman,constructor
stommelen,surtees,constructor
redman,surtees,constructor
stommelen,lennep,constructor
lennep,surtees,constructor
stommelen,bell,constructor
bell,surtees,constructor
stommelen,hailwood,constructor
hailwood,surtees,constructor
stommelen,jack_brabham,constructor
stommelen,klerk,constructor
jack_brabham,klerk,constructor
bell,jack_brabham,constructor
stommelen,hutchison,constructor
jack_brabham,hutchison,constructor
pace,perkins,constructor
pace,bueno,constructor
hailwood,bueno,constructor
pace,adamich,constructor
hailwood,adamich,constructor
ian_scheckter,magee,constructor
pryce,zorzi,constructor
nilsson,evans,constructor
perkins,amon,constructor
neve,kessel,constructor
oliver,follmer,constructor
hill,follmer,constructor
oliver,redman,constructor
hill,redman,constructor
redman,follmer,constructor
oliver,beltoise,constructor
oliver,gethin,constructor
oliver,hulme,constructor
hulme,gethin,constructor
oliver,bonnier,constructor
hulme,bonnier,constructor
oliver,rodriguez,constructor
oliver,eaton,constructor
rodriguez,eaton,constructor
oliver,westbury,constructor
rodriguez,westbury,constructor
eaton,westbury,constructor
oliver,surtees,constructor
surtees,rodriguez,constructor
oliver,brack,constructor
surtees,brack,constructor
surtees,eaton,constructor
hill,brack,constructor
brack,siffert,constructor
oliver,solana,constructor
hill,solana,constructor
siffert,solana,constructor
oliver,clark,constructor
hill,clark,constructor
edwards,hill,constructor
schuppan,brise,constructor
kessel,nelleman,constructor
kessel,magee,constructor
kessel,lombardi,constructor
hoshino,takahara,constructor
lombardi,evans,constructor
amon,wunderink,constructor
amon,beltoise,constructor
amon,rodriguez,constructor
amon,bandini,constructor
amon,scarfiotti,constructor
amon,parkes,constructor
scarfiotti,parkes,constructor
amon,williams,constructor
amon,surtees,constructor
amon,rindt,constructor
amon,ligier,constructor
surtees,siffert,constructor
surtees,rindt,constructor
surtees,ligier,constructor
siffert,ligier,constructor
rindt,ligier,constructor
amon,ireland,constructor
amon,attwood,constructor
amon,hailwood,constructor
amon,revson,constructor
amon,collomb,constructor
hailwood,revson,constructor
hailwood,siffert,constructor
hailwood,ireland,constructor
hailwood,collomb,constructor
revson,siffert,constructor
revson,ireland,constructor
revson,collomb,constructor
siffert,ireland,constructor
siffert,collomb,constructor
ireland,collomb,constructor
amon,trevor_taylor,constructor
hailwood,trevor_taylor,constructor
revson,trevor_taylor,constructor
amon,clark,constructor
amon,spence,constructor
clark,spence,constructor
amon,trintignant,constructor
amon,bianchi,constructor
amon,anderson,constructor
