driverRef_x,driverRef_y,connection
jabouille,bell,constructor
jabouille,quester,constructor
kinnunen,quester,constructor
bell,quester,constructor
depailler,peterson,constructor
depailler,takahashi,constructor
peterson,takahashi,constructor
depailler,ian_scheckter,constructor
scheckter,ian_scheckter,constructor
depailler,pesenti_rossi,constructor
scheckter,pesenti_rossi,constructor
depailler,stuppacher,constructor
scheckter,stuppacher,constructor
pesenti_rossi,stuppacher,constructor
depailler,hoshino,constructor
scheckter,hoshino,constructor
depailler,leclere,constructor
scheckter,leclere,constructor
depailler,keizan,constructor
scheckter,keizan,constructor
depailler,cevert,constructor
depailler,stewart,constructor
scheckter,rahal,constructor
scheckter,hulme,constructor
scheckter,revson,constructor
hulme,revson,constructor
regazzoni,stuck,constructor
regazzoni,ongais,constructor
stuck,ongais,constructor
regazzoni,merzario,constructor
merzario,ickx,constructor
regazzoni,giunti,constructor
ickx,giunti,constructor
emerson_fittipaldi,ribeiro,constructor
emerson_fittipaldi,hoffmann,constructor
emerson_fittipaldi,hailwood,constructor
hulme,hailwood,constructor
charlton,hulme,constructor
charlton,hailwood,constructor
emerson_fittipaldi,hobbs,constructor
hulme,hobbs,constructor
emerson_fittipaldi,peterson,constructor
peterson,charlton,constructor
emerson_fittipaldi,walker,constructor
charlton,walker,constructor
emerson_fittipaldi,wisell,constructor
wisell,walker,constructor
emerson_fittipaldi,lovely,constructor
wisell,lovely,constructor
emerson_fittipaldi,hill,constructor
emerson_fittipaldi,miles,constructor
emerson_fittipaldi,rindt,constructor
hill,miles,constructor
lovely,miles,constructor
miles,rindt,constructor
hill,wisell,constructor
ertl,bleekemolen,constructor
ertl,edwards,constructor
ertl,stommelen,constructor
ertl,ribeiro,constructor
ertl,hunt,constructor
ertl,lunger,constructor
brambilla,gimax,constructor
brambilla,binder,constructor
brambilla,trimmer,constructor
brambilla,schuppan,constructor
trimmer,schuppan,constructor
brambilla,leoni,constructor
brambilla,stuck,constructor
brambilla,lombardi,constructor
stuck,lombardi,constructor
brambilla,peterson,constructor
stuck,peterson,constructor
brambilla,merzario,constructor
merzario,stuck,constructor
merzario,peterson,constructor
brambilla,donohue,constructor
stuck,donohue,constructor
lombardi,donohue,constructor
brambilla,wisell,constructor
brambilla,wilds,constructor
stuck,wilds,constructor
hunt,stuck,constructor
hunt,ganley,constructor
stuck,ganley,constructor
hunt,ian_scheckter,constructor
hunt,williamson,constructor
purley,williamson,constructor
beuttler,williamson,constructor
merzario,colombo,constructor
merzario,dryver,constructor
ribeiro,dryver,constructor
ian_scheckter,dryver,constructor
hayje,dryver,constructor
neve,dryver,constructor
merzario,bleekemolen,constructor
ribeiro,bleekemolen,constructor
bleekemolen,ian_scheckter,constructor
bleekemolen,hayje,constructor
bleekemolen,neve,constructor
merzario,amon,constructor
merzario,brown,constructor
merzario,binder,constructor
merzario,brise,constructor
merzario,belso,constructor
merzario,lennep,constructor
stuck,ribeiro,constructor
stuck,lunger,constructor
stuck,hayje,constructor
ickx,leclere,constructor
ickx,peterson,constructor
ickx,tunmer,constructor
ickx,keizan,constructor
peterson,tunmer,constructor
peterson,keizan,constructor
tunmer,keizan,constructor
ickx,ian_scheckter,constructor
ickx,driver,constructor
peterson,ian_scheckter,constructor
peterson,driver,constructor
ian_scheckter,driver,constructor
ickx,schenken,constructor
peterson,schenken,constructor
ickx,hulme,constructor
ickx,revson,constructor
ickx,ganley,constructor
ickx,galli,constructor
ickx,jack_brabham,constructor
ickx,courage,constructor
jack_brabham,courage,constructor
ickx,moser,constructor
moser,jack_brabham,constructor
moser,courage,constructor
ickx,amon,constructor
ickx,adamich,constructor
amon,adamich,constructor
ickx,bell,constructor
amon,bell,constructor
ickx,jo_schlesser,constructor
ickx,siffert,constructor
ickx,bonnier,constructor
ickx,rindt,constructor
hayje,kozarowitzky,constructor
peterson,roig,constructor
peterson,love,constructor
pescarolo,roig,constructor
pescarolo,love,constructor
roig,love,constructor
roig,barber,constructor
peterson,adamich,constructor
galli,barber,constructor
peterson,gavin,constructor
ongais,leoni,constructor
stommelen,hill,constructor
stommelen,migault,constructor
stommelen,brise,constructor
stommelen,redman,constructor
stommelen,surtees,constructor
redman,surtees,constructor
stommelen,lennep,constructor
lennep,surtees,constructor
stommelen,bell,constructor
bell,surtees,constructor
stommelen,hailwood,constructor
hailwood,surtees,constructor
stommelen,jack_brabham,constructor
stommelen,klerk,constructor
jack_brabham,klerk,constructor
bell,jack_brabham,constructor
stommelen,hutchison,constructor
jack_brabham,hutchison,constructor
pace,perkins,constructor
pace,bueno,constructor
hailwood,bueno,constructor
pace,adamich,constructor
hailwood,adamich,constructor
ian_scheckter,magee,constructor
pryce,zorzi,constructor
nilsson,evans,constructor
perkins,amon,constructor
neve,kessel,constructor
oliver,follmer,constructor
hill,follmer,constructor
oliver,redman,constructor
hill,redman,constructor
redman,follmer,constructor
oliver,beltoise,constructor
oliver,gethin,constructor
oliver,hulme,constructor
hulme,gethin,constructor
oliver,bonnier,constructor
hulme,bonnier,constructor
oliver,rodriguez,constructor
oliver,eaton,constructor
rodriguez,eaton,constructor
oliver,westbury,constructor
rodriguez,westbury,constructor
eaton,westbury,constructor
oliver,surtees,constructor
surtees,rodriguez,constructor
oliver,brack,constructor
surtees,brack,constructor
surtees,eaton,constructor
hill,brack,constructor
brack,siffert,constructor
oliver,solana,constructor
hill,solana,constructor
siffert,solana,constructor
oliver,clark,constructor
hill,clark,constructor
edwards,hill,constructor
schuppan,brise,constructor
kessel,nelleman,constructor
kessel,magee,constructor
kessel,lombardi,constructor
hoshino,takahara,constructor
lombardi,evans,constructor
amon,wunderink,constructor
amon,beltoise,constructor
amon,rodriguez,constructor
amon,bandini,constructor
amon,scarfiotti,constructor
amon,parkes,constructor
scarfiotti,parkes,constructor
amon,williams,constructor
amon,surtees,constructor
amon,rindt,constructor
amon,ligier,constructor
surtees,siffert,constructor
surtees,rindt,constructor
surtees,ligier,constructor
siffert,ligier,constructor
rindt,ligier,constructor
amon,ireland,constructor
amon,attwood,constructor
amon,hailwood,constructor
amon,revson,constructor
amon,collomb,constructor
hailwood,revson,constructor
hailwood,siffert,constructor
hailwood,ireland,constructor
hailwood,collomb,constructor
revson,siffert,constructor
revson,ireland,constructor
revson,collomb,constructor
siffert,ireland,constructor
siffert,collomb,constructor
ireland,collomb,constructor
amon,trevor_taylor,constructor
hailwood,trevor_taylor,constructor
revson,trevor_taylor,constructor
amon,clark,constructor
amon,spence,constructor
clark,spence,constructor
amon,trintignant,constructor
amon,bianchi,constructor
amon,anderson,constructor
amon,campbell-jones,constructor
anderson,campbell-jones,constructor
hailwood,anderson,constructor
amon,sharp,constructor
amon,hall,constructor
siffert,sharp,constructor
siffert,hall,constructor
ireland,sharp,constructor
ireland,hall,constructor
sharp,hall,constructor
pescarolo,migault,constructor
pescarolo,beltoise,constructor
migault,beltoise,constructor
pescarolo,ganley,constructor
pescarolo,mazet,constructor
pescarolo,jean,constructor
roig,mazet,constructor
roig,jean,constructor
mazet,jean,constructor
donohue,hulme,constructor
hill,gethin,constructor
hill,charlton,constructor
hill,pretorius,constructor
charlton,pretorius,constructor
hill,schenken,constructor
hill,craft,constructor
schenken,craft,constructor
charlton,love,constructor
charlton,miles,constructor
charlton,rindt,constructor
love,miles,constructor
hill,roig,constructor
roig,miles,constructor
roig,rindt,constructor
roig,lovely,constructor
hill,attwood,constructor
siffert,attwood,constructor
siffert,miles,constructor
bonnier,miles,constructor
hill,courage,constructor
courage,clark,constructor
hill,wietzes,constructor
wietzes,clark,constructor
hill,baghetti,constructor
clark,baghetti,constructor
clark,solana,constructor
hill,stewart,constructor
hill,bondurant,constructor
stewart,bondurant,constructor
hill,vic_wilson,constructor
stewart,vic_wilson,constructor
bondurant,vic_wilson,constructor
hill,ireland,constructor
stewart,ireland,constructor
hill,bianchi,constructor
hill,gregory,constructor
stewart,bianchi,constructor
stewart,gregory,constructor
bianchi,gregory,constructor
hill,bussinello,constructor
stewart,bussinello,constructor
gregory,bussinello,constructor
hill,bassi,constructor
stewart,bassi,constructor
gregory,bassi,constructor
bussinello,bassi,constructor
hill,ginther,constructor
hill,maggs,constructor
hill,trintignant,constructor
ginther,baghetti,constructor
ginther,maggs,constructor
ginther,trintignant,constructor
baghetti,maggs,constructor
baghetti,trintignant,constructor
maggs,trintignant,constructor
attwood,ginther,constructor
attwood,baghetti,constructor
attwood,maggs,constructor
attwood,trintignant,constructor
hill,bandini,constructor
bandini,ginther,constructor
solana,ginther,constructor
hill,lewis,constructor
hill,marsh,constructor
ginther,lewis,constructor
ginther,marsh,constructor
lewis,marsh,constructor
hill,ashmore,constructor
ginther,ashmore,constructor
lewis,ashmore,constructor
marsh,ashmore,constructor
hill,johnstone,constructor
ginther,johnstone,constructor
hill,brooks,constructor
hill,gurney,constructor
bonnier,gurney,constructor
hill,halford,constructor
lovely,halford,constructor
hill,stacey,constructor
hill,piper,constructor
hill,dennis_taylor,constructor
stacey,piper,constructor
stacey,dennis_taylor,constructor
piper,dennis_taylor,constructor
hill,allison,constructor
allison,stacey,constructor
hill,bueb,constructor
allison,bueb,constructor
keizan,cevert,constructor
keizan,stewart,constructor
charlton,jack_brabham,constructor
love,jack_brabham,constructor
jack_brabham,rindt,constructor
charlton,anderson,constructor
charlton,botha,constructor
anderson,botha,constructor
charlton,niemann,constructor
brise,migault,constructor
lennep,ganley,constructor
hulme,redman,constructor
gethin,bonnier,constructor
hobbs,bonnier,constructor
hulme,surtees,constructor
hulme,mclaren,constructor
surtees,mclaren,constructor
hulme,gurney,constructor
hulme,rooyen,constructor
mclaren,rooyen,constructor
hulme,beltoise,constructor
hulme,elford,constructor
beltoise,elford,constructor
beltoise,mclaren,constructor
elford,mclaren,constructor
hulme,bell,constructor
bell,elford,constructor
bell,mclaren,constructor
mclaren,gurney,constructor
hulme,jack_brabham,constructor
hulme,ligier,constructor
jack_brabham,ligier,constructor
hulme,anderson,constructor
bonnier,jack_brabham,constructor
bonnier,anderson,constructor
jack_brabham,anderson,constructor
gurney,anderson,constructor
jack_brabham,gurney,constructor
hulme,raby,constructor
bonnier,raby,constructor
jack_brabham,raby,constructor
gurney,raby,constructor
hulme,baghetti,constructor
bonnier,baghetti,constructor
gurney,baghetti,constructor
hailwood,schenken,constructor
